fecha_venta;familia;cantidad;gramos
2022-10-03;VAINILLA;1;1000
2022-10-04;MANGO;1;750
2022-10-05;VAINILLA;1;750
2022-10-05;VAINILLA;1;4550
2022-10-06;CHOCOLATE;1;1350
2022-10-06;FRUTILLA;1;350
2022-10-07;MANGO;1;2250
2022-10-12;VAINILLA;1;2900
2022-10-12;VAINILLA;1;950
2022-10-21;VAINILLA;1;600
2022-10-21;CHOCOLATE;1;2000
2022-10-21;FRUTILLA;1;650
2022-10-22;CHOCOLATE;1;1400
2022-10-25;CHOCOLATE;1;1100
2022-10-25;FRUTILLA;1;300
2022-10-26;VAINILLA;1;1100
2022-10-28;MENTA;1;1100
2022-10-28;MENTA;1;900
2022-10-28;CHOCOLATE;1;950
2022-10-28;CHOCOLATE;1;850
2022-10-28;VAINILLA;1;550
2022-10-29;MENTA;1;450
2022-10-29;MENTA;1;850
2022-10-29;VAINILLA;1;1900
2022-10-29;VAINILLA;1;2150
2022-10-29;FRUTILLA;1;600
2022-10-29;VAINILLA;1;1450
2022-10-29;VAINILLA;1;750
2022-10-29;VAINILLA;1;5550
2022-11-02;FRUTILLA;1;400
2022-11-03;CHOCOLATE;1;1100
2022-11-07;VAINILLA;1;1250
2022-11-07;VAINILLA;1;1400
2022-11-08;CHOCOLATE;1;1250
2022-11-08;MENTA;1;900
2022-11-10;VAINILLA;1;1500
2022-11-10;VAINILLA;1;1750
2022-11-10;MENTA;1;350
2022-11-11;CHOCOLATE;1;1000
2022-11-12;FRUTILLA;1;1050
2022-11-14;VAINILLA;1;1000
2022-11-16;VAINILLA;1;1650
2022-11-16;VAINILLA;1;850
2022-11-16;VAINILLA;1;1700
2022-11-17;VAINILLA;1;900
2022-11-17;VAINILLA;1;950
2022-11-17;CHOCOLATE;1;1350
2022-11-17;FRUTILLA;1;600
2022-11-21;VAINILLA;1;1250
2022-11-21;CHOCOLATE;1;550
2022-11-24;VAINILLA;1;850
2022-11-24;VAINILLA;1;3800
2022-11-25;CHOCOLATE;1;3950
2022-11-25;FRUTILLA;1;400
2022-11-25;CHOCOLATE;1;750
2022-11-28;CHOCOLATE;1;500
2022-11-29;MORA;1;350
2022-11-30;VAINILLA;1;1550
2022-12-02;VAINILLA;1;900
2022-12-03;CHOCOLATE;1;1200
2022-12-03;FRUTILLA;1;350
2022-12-03;VAINILLA;1;1500
2022-12-03;CHOCOLATE;1;1200
2022-12-03;FRUTILLA;1;700
2022-12-03;CHOCOLATE;1;1000
2022-12-05;VAINILLA;1;1400
2022-12-06;VAINILLA;1;1200
2022-12-07;MANGO;1;1800
2022-12-07;MENTA;1;450
2022-12-09;MENTA;1;1050
2022-12-09;MANGO;1;1000
2022-12-09;MANGO;1;1200
2022-12-12;FRUTILLA;1;1700
2022-12-12;VAINILLA;1;1250
2022-12-13;VAINILLA;1;3000
2022-12-13;MENTA;1;850
2022-12-13;MENTA;1;450
2022-12-15;MENTA;1;450
2022-12-15;CHOCOLATE;1;2100
2022-12-16;CHOCOLATE;1;2350
2022-12-16;MANGO;1;1250
2022-12-16;VAINILLA;1;2000
2022-12-16;CHOCOLATE;1;1050
2022-12-19;MENTA;1;2600
2022-12-19;CHOCOLATE;1;2350
2022-12-19;FRUTILLA;1;1000
2022-12-19;MENTA;1;550
2022-12-19;VAINILLA;1;1300
2022-12-20;VAINILLA;1;1500
2022-12-20;MANGO;1;1900
2022-12-20;CHOCOLATE;1;2050
2022-12-20;FRUTILLA;1;750
2022-12-20;CHOCOLATE;1;1900
2022-12-20;FRUTILLA;1;1000
2022-12-21;MENTA;1;450
2022-12-21;VAINILLA;1;1400
2022-12-21;MANGO;1;2500
2022-12-21;VAINILLA;1;2200
2022-12-21;FRUTILLA;1;250
2022-12-21;CHOCOLATE;1;2350
2022-12-21;VAINILLA;1;1250
2022-12-21;CHOCOLATE;1;4000
2022-12-22;MENTA;1;1750
2022-12-22;CHOCOLATE;1;1000
2022-12-22;VAINILLA;1;1250
2022-12-22;FRUTILLA;1;600
2022-12-22;FRUTILLA;1;750
2022-12-22;FRUTILLA;1;600
2022-12-22;VAINILLA;1;800
2022-12-22;CHOCOLATE;1;3250
2022-12-22;VAINILLA;1;1600
2022-12-22;FRUTILLA;1;550
2022-12-22;CHOCOLATE;1;1600
2022-12-22;VAINILLA;1;900
2022-12-22;MENTA;1;850
2022-12-23;MENTA;1;500
2022-12-23;MENTA;1;750
2022-12-23;VAINILLA;1;1150
2022-12-23;MANGO;1;1900
2022-12-23;MENTA;1;600
2022-12-23;MENTA;1;650
2022-12-23;MENTA;1;1450
2022-12-23;MENTA;1;600
2022-12-23;MANGO;1;3800
2022-12-23;CHOCOLATE;1;600
2022-12-23;MANGO;1;800
2022-12-23;MANGO;1;800
2022-12-23;CHOCOLATE;1;1000
2022-12-23;FRUTILLA;1;1000
2022-12-24;CHOCOLATE;1;1300
2022-12-24;FRUTILLA;1;500
2022-12-24;VAINILLA;1;1550
2022-12-24;FRUTILLA;1;900
2022-12-24;VAINILLA;1;1300
2022-12-24;CHOCOLATE;1;1100
2022-12-24;MENTA;1;2350
2022-12-24;VAINILLA;1;4000
2022-12-24;MENTA;1;1250
2022-12-24;MENTA;1;1050
2022-12-27;MENTA;1;650
2022-12-28;FRUTILLA;1;600
2022-12-28;MANGO;1;1650
2022-12-28;FRUTILLA;1;750
2022-12-28;CHOCOLATE;1;5200
2022-12-28;CHOCOLATE;1;1950
2022-12-28;MENTA;1;450
2022-12-29;MENTA;1;1550
2022-12-29;MENTA;1;700
2022-12-30;VAINILLA;1;900
2022-12-30;CHOCOLATE;1;5200
2022-12-30;CHOCOLATE;1;1000
2022-12-30;VAINILLA;1;1450
2022-12-30;VAINILLA;1;1100
2022-12-31;CHOCOLATE;1;1000
2022-01-03;CHOCOLATE;1;1150
2022-01-04;VAINILLA;1;850
